30671L1_1_315 ;30671L1_1_315_13;10836_UARFCN                                      ;         1
30671L1_1_315 ;30671L1_1_315_14;10836_UARFCN                                      ;         1
30671L1_1_315 ;30671L1_1_315_15;10836_UARFCN                                      ;         1
30671L1_1_315 ;30671L1_1_315_7 ;3085_UARFCN                                       ;         1
30671L1_1_315 ;30671L1_1_315_8 ;3085_UARFCN                                       ;         1
30671L1_1_315 ;30671L1_1_315_9 ;3085_UARFCN                                       ;         1
30031F1_1_115 ;30031F1_1_115_1 ;3085_UARFCN                                       ;         1
30031F1_1_115 ;30031F1_1_115_2 ;3085_UARFCN                                       ;         1
30031F1_1_115 ;30031F1_1_115_3 ;3085_UARFCN                                       ;         1
31155A1_1     ;31155A1_1_1     ;3085_UARFCN                                       ;         1
31155A1_1     ;31155A1_1_2     ;3085_UARFCN                                       ;         1
31155A1_1     ;31155A1_1_3     ;3085_UARFCN                                       ;         1
31357A1_1_415 ;31357A1_1_415_3 ;3085_UARFCN                                       ;         1
31357A1_1_415 ;31357A1_1_415_2 ;3085_UARFCN                                       ;         1
31357A1_1_415 ;31357A1_1_415_1 ;3085_UARFCN                                       ;         1
30163F1_5_420 ;30163F1_5_420_7 ;3085_UARFCN                                       ;         1
30163F1_5_420 ;30163F1_5_420_8 ;3085_UARFCN                                       ;         1
30163F1_5_420 ;30163F1_5_420_9 ;3085_UARFCN                                       ;         1
30163F1_5_420 ;30163F1_5_420_13;10836_UARFCN                                      ;         1
30163F1_5_420 ;30163F1_5_420_14;10836_UARFCN                                      ;         1
30163F1_5_420 ;30163F1_5_420_15;10836_UARFCN                                      ;         1
30073A1_1     ;30073A1_1_2     ;3085_UARFCN                                       ;         1
30073A1_1     ;30073A1_1_3     ;3085_UARFCN                                       ;         1
30073A1_1     ;30073A1_1_1     ;3085_UARFCN                                       ;         1
32099A1_1     ;32099A1_1_3     ;3085_UARFCN                                       ;         1
32099A1_1     ;32099A1_1_1     ;3085_UARFCN                                       ;         1
32099A1_1     ;32099A1_1_2     ;3085_UARFCN                                       ;         1
30323A1_1     ;30323A1_1_3     ;3085_UARFCN                                       ;         1
30323A1_1     ;30323A1_1_2     ;3085_UARFCN                                       ;         1
30323A1_1     ;30323A1_1_1     ;3085_UARFCN                                       ;         1
31083A1_1     ;31083A1_1_1     ;3085_UARFCN                                       ;         1
31083A1_1     ;31083A1_1_2     ;3085_UARFCN                                       ;         1
31083A1_1     ;31083A1_1_3     ;3085_UARFCN                                       ;         1
31097A1_1     ;31097A1_1_1     ;3085_UARFCN                                       ;         1
31097A1_1     ;31097A1_1_3     ;3085_UARFCN                                       ;         1
31097A1_1     ;31097A1_1_2     ;3085_UARFCN                                       ;         1
30235F1_1_412 ;30235F1_1_412_7 ;3085_UARFCN                                       ;         1
30235F1_1_412 ;30235F1_1_412_8 ;3085_UARFCN                                       ;         1
30235F1_1_412 ;30235F1_1_412_9 ;3085_UARFCN                                       ;         1
30235F1_1_412 ;30235F1_1_412_13;10836_UARFCN                                      ;         1
30235F1_1_412 ;30235F1_1_412_14;10836_UARFCN                                      ;         1
30235F1_1_412 ;30235F1_1_412_15;10836_UARFCN                                      ;         1
30113N1_1_413 ;30113N1_1_413_1 ;3085_UARFCN                                       ;         1
30113N1_1_413 ;30113N1_1_413_3 ;3085_UARFCN                                       ;         1
30113N1_1_413 ;30113N1_1_413_2 ;3085_UARFCN                                       ;         1
32062W1_1_415 ;32062W1_1_415_2 ;3085_UARFCN                                       ;         1
32062W1_1_415 ;32062W1_1_415_1 ;3085_UARFCN                                       ;         1
32062W1_1_415 ;32062W1_1_415_3 ;3085_UARFCN                                       ;         1
30046W1_1_415 ;30046W1_1_415_1 ;3085_UARFCN                                       ;         1
